TimeStamp,e,e,e,e,e,e,e,e,e,e,e,e,e,e,c,Handle
17709550879,3.126,3.126,3.126,3.126,3.126,3.132,3.12,3.12,3.12,3.097,3.12,3.12,3.12,3.126,70.0,0
17807382879,3.12,3.12,3.12,3.138,3.132,3.103,3.061,3.025,3.013,3.037,3.055,3.097,3.138,3.168,84.0,0
17953572879,3.174,3.18,3.186,3.18,3.186,3.174,3.168,3.162,3.328,3.37,2.692,2.045,1.926,2.805,98.0,0
18052218879,3.507,3.471,3.435,3.317,3.227,3.21,3.198,3.192,3.18,3.174,3.174,3.162,3.156,3.156,112.0,0
18149758879,3.15,3.144,3.132,3.132,3.126,3.12,3.114,3.103,3.097,3.097,3.079,3.073,3.061,3.055,126.0,0
18294281879,3.043,3.031,3.031,3.019,3.013,3.007,3.007,3.043,3.067,3.103,3.138,3.174,3.198,3.21,140.0,0
18391950879,3.221,3.221,3.221,3.221,3.216,3.221,3.216,3.221,3.216,3.216,3.21,3.21,3.216,3.21,154.0,0
18489679879,3.21,3.204,3.216,3.21,3.21,3.216,3.216,3.21,3.216,3.21,3.21,3.21,3.21,3.204,168.0,0
18586923879,3.216,3.21,3.204,3.21,3.21,3.204,3.204,3.192,3.156,3.103,3.085,3.103,3.114,3.156,182.0,0
18733605879,3.192,3.216,3.233,3.227,3.227,3.227,3.227,3.221,3.221,3.21,3.346,3.495,3.007,2.169,196.0,0
18831124879,2.158,2.627,3.441,3.536,3.531,3.459,3.352,3.263,3.257,3.239,3.227,3.221,3.216,3.204,210.0,0
18928561879,3.198,3.192,3.186,3.168,3.168,3.162,3.156,3.144,3.138,3.132,3.126,3.114,3.103,3.091,224.0,0
